sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:be:verb:1,be,verb,是； 有，存在； 做，成为； 发生,v 是； 有，存在； 做，成为； 发生；n (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝,/bi/,/biː/,Don’t disturb me while I’m working.,我工作的时候不要打扰我。
en:beach:noun:1,beach,noun,海滩；湖滨,n 海滩；湖滨；v 将…拖上岸,/bitʃ/,/biːtʃ/,a sandy beach,沙滩
en:bear:verb:1,bear,verb,结果实，开花（正式）,v 结果实，开花（正式）；n 熊,/bɛr/,/beə/,As the plants grow and start to bear fruit they will need a lot of water.,随着植物的生长及开始结果，它们将需要大量的水分。
en:beautiful:adjective:1,beautiful,adjective,美丽的,adj 美丽的,/'bjʊtəfəl/,/'bjuːtɪfʊl; -f(ə)l/,She was even more beautiful than I had remembered.,她比我记忆中更美。
en:because:conjunction:1,because,conjunction,因为,conj 因为,/bɪ'kɔz/,/bɪ'kɒz/,We didn’t enjoy the day because the weather was so awful.,那天我们很不尽兴，因为天气实在太糟。
en:bed:noun:1,bed,noun,床；基础；河底， 海底,n 床；基础；河底， 海底；v 使睡觉；安置，嵌入；栽种,/bɛd/,/bed/,You should go to bed early.,你应该早点上床。
en:bedroom:noun:1,bedroom,noun,卧室,n 卧室；adj 两性关系的；城郊住宅区的,/'bɛdrum/,/'bedruːm; -rʊm/,a hotel with 50 bedrooms,有50间客房的旅馆
en:bee:noun:1,bee,noun,蜜蜂，蜂；勤劳的人,n 蜜蜂，蜂；勤劳的人,/bi/,/biː/,a swarm of bees,一群蜜蜂
en:beef:noun:1,beef,noun,牛肉；肌肉；食用牛；牢骚,n 牛肉；肌肉；食用牛；牢骚；v 抱怨，告发；发牢骚,/bif/,/biːf/,roast beef,烤牛肉
en:before:preposition:1,before,preposition,在…之前，先于,prep 在…之前，先于；adv 以前；在前；conj 在…以前；在…之前,/bɪ'fɔr/,/bɪ'fɔː/,The new road should be completed before the end of the year.,这条新公路应该在年底前完工。
en:behaviour:noun:1,behaviour,noun,行为；习性；运行状况（=behavior）,n 行为；习性；运行状况（=behavior）,/bɪ'hevjər/,/bɪ'heɪvjə/,It is important to reward good behaviour.,表现好要给予奖励，这是很重要的。
en:behind:preposition:1,behind,preposition,落后于；支持；晚于,prep 落后于；支持；晚于；adv 在后地；在原处；n 屁股,/bɪ'haɪnd/,/bɪ'haɪnd/,Mark’s always behind the rest of his class in mathematics.,马克的数学成绩总是落在班上其他同学后面。
en:believe:verb:1,believe,verb,信任；料想；笃信宗教,v 信任；料想；笃信宗教,/bɪ'liv/,/bɪ'liːv/,You shouldn’t believe everything you read.,你不应尽信书上看来的东西。
en:bell:noun:1,bell,noun,铃，钟；钟声，铃声；钟状物,n 铃，钟；钟声，铃声；钟状物；v 装钟于，系铃于,/bɛl/,/bel/,church bells,教堂的钟
en:below:adverb:1,below,adverb,在下面，在较低处；在本页下面,adv 在下面，在较低处；在本页下面；prep 在…下面；n (Below)人名；(英、德、芬、瑞典)贝洛,/bɪ'lo/,/bɪ'ləʊ/,an animal that lives below ground,生活在地下的动物
en:beside:preposition:1,beside,preposition,在旁边；与…相比；和…无关,prep 在旁边；与…相比；和…无关,/bɪ'saɪd/,/bɪ'saɪd/,Wendy came up and sat beside me.,温迪走过来，坐在我身边。
en:besides:adverb:1,besides,adverb,此外；而且,adv 此外；而且；prep 除…之外,/bɪ'saɪdz/,/bɪ'saɪdz/,"I need the money. And besides, when I agree to do something, I do it.",我需要这笔钱，而且，我一旦答应做什么事情就会做到。
en:between:preposition:1,between,preposition,在…之间,prep 在…之间；adv 在中间,/bɪ'twin/,/bɪ'twiːn/,He supplements his regular meals by eating between meals.,他在两餐之间吃点东西来补充正餐。
en:beyond:preposition:1,beyond,preposition,超过；越过；那一边；在较远的一边,prep 超过；越过；那一边；在较远的一边；adv 在远处；在更远处；n 远处,/bɪ'jɑnd/,/bɪ'jɒnd/,More people are choosing to work beyond retirement age.,越来越多的人选择过了退休年龄继续工作。
en:big:adjective:1,big,adjective,大的；重要的；量大的,adj 大的；重要的；量大的；adv 大量地；顺利；夸大地；n (Big)人名；(土)比格,/bɪɡ/,/bɪg/,a big house,大房子
en:bike:noun:1,bike,noun,自行车；脚踏车,n 自行车；脚踏车；v 骑自行车（或摩托车）,/baɪk/,/baɪk/,Let’s go for a bike ride .,我们去骑会儿自行车吧。
